date | value
asdasd
2000-12-04 | 1
2009-01-01 | 1
2009-01-03 | 1
2000-12-04 | 1
2011-01-03 | 3
2011-01-03 | 2
2011 01 03 | 6
2011-01-03 | 1
2011-01-04 | 1 | 23
2011-01-03 | 1.2
02011-01-04 | 1
2011-001-04 | 1
2011-01-004 | 1
2011-01-09 | 1.21563145
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2022-02-02 | 1000

2012-02-28 | 10.231
2012-02-29 | 10.12
2016-02-28 | 10.45424
2016-02-29 | 10.12123
2017-02-28 | 10.454
2017-02-29 | 10.78575
2020-02-28 | 10.437
2020-02-29 | 10.754

2020-01-31 | 1
2020-01-32 | 1

2020-03-00 | 1
2020-03-31 | 1
2020-03-32 | 1

2020-00-01 | 2
2020-13-01 | 2

2022-04-12 | 2


2027-02-02 | 1



